id,key,value,type
170322224,highway,turning_circle,regular
170322376,railway,level_crossing,regular
170322396,railway,level_crossing,regular
170322401,railway,level_crossing,regular
170322551,highway,turning_circle,regular
170323022,highway,turning_circle,regular
170323826,highway,turning_circle,regular
170324592,highway,turning_circle,regular
170324661,highway,turning_circle,regular
170324744,highway,turning_circle,regular
170324846,highway,turning_circle,regular
170325049,highway,turning_circle,regular
170325074,highway,turning_circle,regular
170325291,highway,traffic_signals,regular
170325323,highway,traffic_signals,regular
170325359,highway,turning_circle,regular
170325371,railway,level_crossing,regular
170325379,railway,level_crossing,regular
170325480,highway,turning_circle,regular
170325548,highway,turning_circle,regular
170325605,highway,traffic_signals,regular
170325613,highway,traffic_signals,regular
170325928,highway,turning_circle,regular
170328704,highway,turning_circle,regular
170328958,highway,turning_circle,regular
170328991,highway,turning_circle,regular
170329234,highway,turning_circle,regular
170329269,highway,turning_circle,regular
170329288,highway,turning_circle,regular
170329359,highway,turning_circle,regular
170329755,highway,turning_circle,regular
170329857,highway,turning_circle,regular
170329863,highway,turning_circle,regular
170330452,highway,turning_circle,regular
170330898,highway,turning_circle,regular
170330975,highway,turning_circle,regular
170331160,highway,turning_circle,regular
170331314,highway,turning_circle,regular
170331419,highway,turning_circle,regular
170331486,highway,turning_circle,regular
170331690,highway,turning_circle,regular
170331768,highway,turning_circle,regular
170332634,highway,turning_circle,regular
170332636,highway,turning_circle,regular
170332971,highway,turning_circle,regular
170333053,highway,turning_circle,regular
170334080,railway,level_crossing,regular
170334566,highway,turning_circle,regular
170334820,highway,turning_circle,regular
170335730,highway,turning_circle,regular
170335763,railway,level_crossing,regular
170335785,railway,level_crossing,regular
170335871,highway,turning_circle,regular
170336975,highway,turning_circle,regular
170337117,highway,traffic_signals,regular
170337144,highway,traffic_signals,regular
170337558,highway,turning_circle,regular
170337577,highway,turning_circle,regular
170337822,highway,turning_circle,regular
170337831,highway,turning_circle,regular
170337835,highway,turning_circle,regular
170338032,highway,turning_circle,regular
170338281,highway,turning_circle,regular
170338317,highway,turning_circle,regular
170338716,highway,turning_circle,regular
170338762,highway,turning_circle,regular
170338830,highway,turning_circle,regular
170339148,highway,turning_circle,regular
170339413,highway,turning_circle,regular
170340304,highway,turning_circle,regular
170340480,highway,turning_circle,regular
170340704,highway,turning_circle,regular
170341316,highway,turning_circle,regular
170341385,highway,turning_circle,regular
170343755,highway,turning_circle,regular
170343855,highway,traffic_signals,regular
170343857,highway,traffic_signals,regular
170343943,highway,traffic_signals,regular
170344045,highway,traffic_signals,regular
170344335,highway,traffic_signals,regular
170344416,highway,traffic_signals,regular
170344516,highway,turning_circle,regular
170344654,highway,turning_circle,regular
170344977,highway,turning_circle,regular
170345022,highway,turning_circle,regular
170345549,highway,turning_circle,regular
170347816,highway,turning_circle,regular
170347872,highway,turning_circle,regular
170347882,highway,turning_circle,regular
170348040,highway,turning_circle,regular
170348198,highway,turning_circle,regular
170349652,highway,turning_circle,regular
170349968,highway,turning_circle,regular
170349971,highway,turning_circle,regular
170349974,highway,turning_circle,regular
170350111,highway,turning_circle,regular
170350808,railway,level_crossing,regular
170350835,crossing,zebra,regular
170350835,highway,crossing,regular
170351460,highway,turning_circle,regular
170351558,highway,turning_circle,regular
170351693,crossing,zebra,regular
170351693,highway,crossing,regular
170351818,highway,traffic_signals,regular
170352271,highway,turning_circle,regular
170352283,highway,turning_circle,regular
170352599,highway,turning_circle,regular
170352697,highway,turning_circle,regular
170353602,highway,traffic_signals,regular
170353705,highway,traffic_signals,regular
170353791,highway,turning_circle,regular
170353968,highway,turning_circle,regular
170354194,highway,turning_circle,regular
170354326,highway,turning_circle,regular
170354427,highway,turning_circle,regular
170355201,highway,turning_circle,regular
170355231,highway,turning_circle,regular
170355685,highway,turning_circle,regular
170355778,highway,turning_circle,regular
170355978,highway,turning_circle,regular
170356001,highway,turning_circle,regular
170356223,highway,turning_circle,regular
170357010,highway,turning_circle,regular
170357018,highway,turning_circle,regular
170357209,highway,turning_circle,regular
170357474,highway,turning_circle,regular
170359848,highway,turning_circle,regular
170360427,highway,turning_circle,regular
170360513,railway,level_crossing,regular
170360850,highway,traffic_signals,regular
170360850,traffic_signals,signal,regular
170361234,highway,turning_circle,regular
170361676,highway,turning_circle,regular
170361681,highway,turning_circle,regular
170361691,highway,turning_circle,regular
170361712,highway,turning_circle,regular
170361839,highway,turning_circle,regular
170361984,highway,turning_circle,regular
170363441,highway,turning_circle,regular
170364785,highway,turning_circle,regular
170365110,highway,turning_circle,regular
170365110,noexit,yes,regular
170365232,highway,turning_circle,regular
170365261,highway,turning_circle,regular
170365317,highway,turning_circle,regular
170365382,highway,turning_circle,regular
170365409,highway,turning_circle,regular
